S.No.,Country,Year_2008-2009_Value,Year_2008-2009_Share,Year_2009-2010_Value,Year_2009-2010_Share,Year_2010-2011_Value,Year_2010-2011_Share,Year_2011-2012_Value,Year_2011-2012_Share,Year_2012-2013_Value,Year_2012-2013_Share,Year_2013-2014_Value,Year_2013-2014_Share,Year_2014-2015_Value,Year_2014-2015_Share,Year_2015-2016_Value,Year_2015-2016_Share,Year_2016-2017_Value,Year_2016-2017_Share,Year_2017-2018_Value,Year_2017-2018_Share,Year_2018-2019_Value,Year_2018-2019_Share,Year_2019-2020_Value,Year_2019-2020_Share,Year_2020-2021_Value,Year_2020-2021_Share,Year_2021-2022_Value,Year_2021-2022_Share,Year_2022-2023_Value,Year_2022-2023_Share,Year_2023-2024_Value,Year_2023-2024_Share,Year_2024-2025_Value,Year_2024-2025_Share
60,DJIBOUTI,160806.39,0.1913,125780.53,0.1488,37697.56,0.0332,229461.69,0.1565,223755.33,0.1369,184398.49,0.0968,145294.12,0.0766,133357.64,0.0777,1646.47,0.0009,1359.5,0.0007,207885.15,0.0901,179121.22,0.0807,1375.26,0.0006,2088.0,0.0007,264187.37,0.0729,287231.65,0.0794,464.48,0.0007
61,DOMINIC REP,23514.0,0.028,26050.62,0.0308,1126.29,0.001,49070.37,0.0335,59349.22,0.0363,76465.01,0.0401,86326.33,0.0455,114869.71,0.0669,132647.88,0.0717,180423.08,0.0922,2015277.32,0.8733,1772410.12,0.7984,153648.0,0.0712,227380.57,0.0723,2318.38,0.0006,2092.07,0.0006,30592.02,0.0489
62,DOMINICA,1197.18,0.0014,1410.01,0.0017,55276.38,0.0486,1358.64,0.0009,1310.76,0.0008,1476.5,0.0008,1551.62,0.0008,954.12,0.0006,1385513.44,0.7492,1542054.35,0.7882,54873.72,0.0238,56254.85,0.0253,1676019.18,0.7763,2792214.03,0.8873,321623.68,0.0888,380381.86,0.1051,487460.84,0.7792
63,ECUADOR,58350.32,0.0694,42398.2,0.0501,902643.27,0.7939,112362.37,0.0766,143393.38,0.0877,176068.25,0.0924,137504.62,0.0725,100006.38,0.0583,40505.8,0.0219,44780.31,0.0229,8392.19,0.0036,7771.0,0.0035,62113.66,0.0288,120683.6,0.0383,3312344.29,0.9146,2915687.98,0.8056,19817.26,0.0317
64,EGYPT A RP,759464.44,0.9033,663818.34,0.7851,10945.27,0.0096,1173550.17,0.8005,1571394.15,0.9615,1556074.22,0.8168,1844254.03,0.9725,1527181.28,0.8898,7533.8,0.0041,6948.7,0.0036,6198.78,0.0027,4201.1,0.0019,10505.71,0.0049,9266.89,0.0029,101785.82,0.0281,106731.23,0.0295,1875.14,0.003
65,EL SALVADOR,7676.42,0.0091,6313.04,0.0075,5189.45,0.0046,18106.95,0.0124,30487.0,0.0187,39412.89,0.0207,37582.77,0.0198,44820.93,0.0261,2155.15,0.0012,4790.76,0.0024,44955.22,0.0195,46297.55,0.0209,7002.71,0.0032,13119.83,0.0042,18556.44,0.0051,22191.46,0.0061,1353.36,0.0022
66,EQUTL GUINEA,2969.06,0.0035,3616.87,0.0043,11205.75,0.0099,8186.18,0.0056,11594.13,0.0071,10477.45,0.0055,9165.18,0.0048,11590.19,0.0068,65412.32,0.0354,51770.92,0.0265,536426.08,0.2324,565450.88,0.2547,38438.8,0.0178,46301.33,0.0147,14607.38,0.004,8324.2,0.0023,14779.5,0.0236
72,FIJI IS,39679.98,0.0472,12645.99,0.015,116002.55,0.102,17505.01,0.0119,22343.32,0.0137,29510.74,0.0155,30336.16,0.016,28799.37,0.0168,2777.12,0.0015,4098.15,0.0021,3812.69,0.0017,4274.12,0.0019,1312.45,0.0006,1549.08,0.0005,427960.11,0.1182,482563.32,0.1333,298.8,0.0005
73,FINLAND,120559.43,0.1434,98365.49,0.1163,1635.0,0.0014,151226.31,0.1032,172482.58,0.1055,252902.72,0.1328,201776.65,0.1064,162884.62,0.0949,3517869.78,1.9021,3158610.39,1.6144,3657423.29,1.5849,3611160.07,1.6268,4177.05,0.0019,6878.45,0.0022,1208.28,0.0003,1217.7,0.0003,1397.31,0.0022
74,FR GUIANA,17546.61,0.0209,1088.04,0.0013,490.54,0.0004,760.63,0.0005,1814.16,0.0011,21947.98,0.0115,36415.12,0.0192,764.53,0.0004,29042.78,0.0157,29071.83,0.0149,38644.55,0.0167,32205.75,0.0145,3532921.78,1.6363,4960509.68,1.5763,8154.39,0.0023,9931.19,0.0027,1411936.44,2.257
